Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Unnamed: 11,Unnamed: 12,Cleaned_Description
392,Ekowisata Mangrove Wonorejo,"Hutan Wisata Mangrove Surabaya merupakan wisata yang menggabungkan wisata rekreasi dan edukasi. Di area dengan luas kurang lebih 200 hektar ini ditanami berbagai tanaman bakau. Lokasi wisata ini dikelola dengan baik oleh pemerintah Kota Surabaya. Sehingga wisata ini diminati pengunjung karena tertata rapi dan bersih. Aktivitas wisata yang bisa dilakukan antara lain berkeliling hutan mangrove baik menggunakan perahu atau berjalan kaki . Serta wisata edukasi mengenai ekosistem sekitar.",Cagar Alam,Surabaya,0,4.3,60.0,"{'lat': -7.308648199999999, 'lng': 112.8216622}",-7.3086482,112.8216622,,392.0,hutan wisata mangrove surabaya merupakan wisata menggabungkan wisata rekreasi edukasi area luas kurang lebih 200 hektar ditanami berbagai tanaman bakau lokasi wisata dikelola baik oleh pemerintah surabaya sehingga wisata diminati pengunjung karena tertata rapi bersih aktivitas wisata bisa dilakukan antara lain berkeliling hutan mangrove baik menggunakan perahu atau berjalan kaki serta wisata edukasi mengenai ekosistem sekitar
393,Taman Harmoni Keputih,"Tempat tersebut ialah Taman Hatmoni Keputih Surabaya yang memiliki segudang koleksi bunga warna-warni. Dulunya tempat ini merupakan lokasi pembuangan sampah atau TPA, namun kini bertransformasi menjadi sebuah wisata taman yang sangat cantik. Bukan hanya cantik, namun bunga-bunga yang bermekaran di Taman Harmoni terlihat sangat instagramable, sehingga tak heran jika mayoritas pengunjung tempat ini merupakan para kaum kawula muda penggiat sosial media. Lantas berapa sih budget untuk memasuki kawasan Taman Harmoni Surabaya ini? Kamu nggak perlu khawatir, karena harga tiket masuk Taman Harmoni Keputih Surabaya ini gratis. Kamu hanya perlu menyiapkan kocek untuk membayar karcis parkir saja.",Cagar Alam,Surabaya,0,4.4,60.0,"{'lat': -7.2952211, 'lng': 112.8035603}",-7.2952211,112.8035603,,393.0,tempat tersebut ialah taman hatmoni keputih surabaya memiliki segudang koleksi bunga warnawarni dulunya tempat merupakan lokasi pembuangan sampah atau tpa namun kini bertransformasi menjadi wisata taman sangat cantik bukan hanya cantik namun bungabunga bermekaran taman harmoni terlihat sangat instagramable sehingga tak heran jika mayoritas pengunjung tempat merupakan para kaum kawula muda penggiat sosial media lantas berapa sih budget memasuki kawasan taman harmoni surabaya kamu nggak perlu khawatir karena harga tiket masuk taman harmoni keputih surabaya gratis kamu hanya perlu menyiapkan kocek membayar karcis parkir saja
394,Air Mancur Menari,"Jembatan Kenjeran dengan air mancur menarinya sejatinya bukan hanya sebuah jembatan penghubung jalan saja, namun juga dimanfaatkan sebagai destinasi wisata oleh pemerintah kota Surabaya. Posisi air mancur menari sendiri berada di ujung jembatan Kenjeran dekat dengan anjungan penyeberangan atau di Taman Hiburan Pantai (THP). Lokasi ini sangat ramah kaum difabel karena tersedia lift yang dapat mereka gunakan untuk mempermudah perjalanan mereka. Sembari menunggu pertunjukan air mancur menari yang spektakuler di jembatan Kenjeran ini, Anda dapat menikmati pemandangan indah matahari terbenam (sunset) di jembatan ini. Jangan lewatkan untuk berfoto dengan laut lepas yang memesona sebagai latar belakangnya. Anda juga dapat menikmati berbagai kuliner lezat khas Jawa Timur di lokasi ini karena banyak pedagang kaki lima yang berjualan di sini. Berbagai mainan anak-anak pun dijual di lokasi ini. Jadi tidak perlu kuatir bahwa anak-anak akan merasa bosan menunggu pertunjukan air mancur menari yang mereka tunggu-tunggu. Silakan atur jadwal kunjungan Anda untuk menyaksikan taman air mancur menari Kenjeran ini dan buktikan sendiri keindahannya. Pastikan bahwa mobilitas Anda terjamin dengan sewa mobil Surabaya karena di lokasi ini masih minim transportasi online pada malam hari.",Taman Hiburan,Surabaya,35000,4.4,45.0,"{'lat': -7.2356933, 'lng': 112.7955234}",-7.2356933,112.7955234,,394.0,jembatan kenjeran air mancur menarinya sejatinya bukan hanya jembatan penghubung jalan saja namun juga dimanfaatkan destinasi wisata oleh pemerintah surabaya posisi air mancur menari sendiri berada ujung jembatan kenjeran dekat anjungan penyeberangan atau taman hiburan pantai thp lokasi sangat ramah kaum difabel karena tersedia lift dapat mereka gunakan mempermudah perjalanan mereka sembari menunggu pertunjukan air mancur menari spektakuler jembatan kenjeran anda dapat menikmati pemandangan indah matahari terbenam sunset jembatan jangan lewatkan berfoto laut lepas memesona latar belakangnya anda juga dapat menikmati berbagai kuliner lezat khas jawa timur lokasi karena banyak pedagang kaki lima berjualan sini berbagai mainan anakanak pun dijual lokasi jadi tidak perlu kuatir bahwa anakanak akan merasa bosan menunggu pertunjukan air mancur menari mereka tunggutunggu silakan atur jadwal kunjungan anda menyaksikan taman air mancur menari kenjeran buktikan sendiri keindahannya pastikan bahwa mobilitas anda terjamin sewa mobil surabaya karena lokasi masih minim transportasi online pada malam hari
395,Taman Prestasi,"Taman Prestasi Surabaya merupakan salah satu taman yang begitu terkenal di Kota Pahlawan dan banyak dikunjungi, sehingga tak heran jika menjadi tempat favorit bagi keluarga terutama pada saat weekend. di tempat lain juga ada loh nama stadion dan taman yang sama persis dengan yang di Surabaya ini, di Bontang, Kaltim yang punya Stadion dengan nama stadion “Taman Prestasi”. Jalan Ahmad Yani, Sukarasa, Kota Tangerang, Banten 15111, juga ada sebuah taman bernama “Taman Prestasi” persis bukan? Di Jogja juga ada sebuah taman yang serupa bernama “Taman Pintar”.",Taman Hiburan,Surabaya,0,4.6,,"{'lat': -7.2614722, 'lng': 112.7428284}",-7.2614722,112.7428284,,395.0,taman prestasi surabaya merupakan salah satu taman begitu terkenal pahlawan banyak dikunjungi sehingga tak heran jika menjadi tempat favorit bagi keluarga terutama pada saat weekend tempat lain juga ada loh nama stadion taman sama persis surabaya bontang kaltim punya stadion nama stadion taman prestasi jalan ahmad yani sukarasa tangerang banten 15111 juga ada taman bernama taman prestasi persis bukan jogja juga ada taman serupa bernama taman pintar
396,Monumen Kapal Selam,"Monumen Kapal Selam, atau disingkat Monkasel, adalah sebuah museum kapal selam yang terdapat di Embong Kaliasin, Genteng, Surabaya. Terletak di pusat kota, monumen ini sebenarnya merupakan kapal selam KRI Pasopati 410, salah satu armada Angkatan Laut Republik Indonesia buatan Uni Soviet tahun 1952. Kapal selam ini pernah dilibatkan dalam Pertempuran Laut Aru untuk membebaskan Irian Barat dari pendudukan Belanda.\nKapal selam ini kemudian dibawa ke darat dan dijadikan monumen untuk memperingati keberanian pahlawan Indonesia. Monkasel berada di Jalan Pemuda, tepat di sebelah Plaza Surabaya. Selain interior kapal selam, di sini juga diadakan pemutaran film tentang proses peperangan yang terjadi di Laut Aru. Jika ingin mengunjungi tempat wisata ini, maka akan ditemani oleh seorang pemandu lokal yang terdapat di sana.\nAda cerita unik di balik hadirnya monumen Kapal Selam ini. Pada suatu malam Pak Drajat Budiyanto yang merupakan mantan KKM KRI Pasopati 410 (buatan Rusia) ini dan juga mantan KKM KRI Cakra 401 (buatan Jerman Barat), bermimpi diperintahkan oleh KSAL pada waktu itu untuk membawa kapal selam ini melayari Kali Mas. Ternyata mimpi itu menjadi kenyataan. Dia ditugaskan untuk memajang kapal selam di samping Surabaya Plaza. Caranya dengan memotong kapal selam ini menjadi beberapa bagian, kemudian diangkut ke darat, dan dirangkai dan disambung kembali menjadi kapal selam yang utuh.",Budaya,Surabaya,15000,4.4,30.0,"{'lat': -7.2654304, 'lng': 112.7503052}",-7.2654304,112.7503052,,396.0,monumen kapal selam atau disingkat monkasel museum kapal selam terdapat embong kaliasin genteng surabaya terletak pusat monumen sebenarnya merupakan kapal selam kri pasopati 410 salah satu armada angkatan laut republik indonesia buatan uni soviet tahun 1952 kapal selam pernah dilibatkan dalam pertempuran laut aru membebaskan irian barat pendudukan belandankapal selam kemudian dibawa darat dijadikan monumen memperingati keberanian pahlawan indonesia monkasel berada jalan pemuda tepat sebelah plaza surabaya selain interior kapal selam sini juga diadakan pemutaran film tentang proses peperangan terjadi laut aru jika ingin mengunjungi tempat wisata maka akan ditemani oleh seorang pemandu lokal terdapat sananada cerita unik balik hadirnya monumen kapal selam pada suatu malam pak drajat budiyanto merupakan mantan kkm kri pasopati 410 buatan rusia juga mantan kkm kri cakra 401 buatan jerman barat bermimpi diperintahkan oleh ksal pada waktu membawa kapal selam melayari kali mas ternyata mimpi menjadi kenyataan dia ditugaskan memajang kapal selam samping surabaya plaza caranya memotong kapal selam menjadi beberapa bagian kemudian diangkut darat dirangkai disambung kembali menjadi kapal selam utuh
397,Taman Kunang-Kunang,"Taman Kunang – Kunang di Surabaya ini mempunyai luas 400 meter persegi dan Taman Kunang – Kunang di Surabaya ini diresmikan oleh walikota Surabaya, Ibu Tri Rismaharini pada hari sabtu 28 Oktober 2010. Lokasi Taman Kunang – Kunang di Surabaya ini terletak di Jalan Panjaringan Timur, Panjaringan Sari, Kecamatan Rungkut, Kota Surabaya. Taman Kunang – Kunang di Surabaya ini letaknya persis berada di antara dua bangunan rumah susun dan terdapat tulisan “Taman Kunang – Kunang,” dengan latar belakang putih. Taman Kunang – Kunang di Surabaya mempunyai banyak fasilitas publik yang cukup lengkap diantaranya adalah lapangan futsal, lapangan basket, dan area bermain untuk anak – anak. Taman Kunang – Kunang di Surabaya ini telah menjadi kawasan bermain di Surabaya untuk semua kalangan, mulai dari anak – anak, remaja, maupun dewasa. Bahkan Taman Kunang – Kunang di Surabaya ini juga tidak jarang dikunjungi oleh para lansia.",Taman Hiburan,Surabaya,0,4.4,45.0,"{'lat': -7.318220199999999, 'lng': 112.7842405}",-7.3182202,112.7842405,,397.0,taman kunang kunang surabaya mempunyai luas 400 meter persegi taman kunang kunang surabaya diresmikan oleh walikota surabaya ibu tri rismaharini pada hari sabtu 28 oktober 2010 lokasi taman kunang kunang surabaya terletak jalan panjaringan timur panjaringan sari kecamatan rungkut surabaya taman kunang kunang surabaya letaknya persis berada antara dua bangunan rumah susun terdapat tulisan taman kunang kunang latar belakang putih taman kunang kunang surabaya mempunyai banyak fasilitas publik cukup lengkap diantaranya lapangan futsal lapangan basket area bermain anak anak taman kunang kunang surabaya telah menjadi kawasan bermain surabaya semua kalangan mulai anak anak remaja maupun dewasa bahkan taman kunang kunang surabaya juga tidak jarang dikunjungi oleh para lansia
398,Taman Buah Surabaya,"Wisata Taman Buah Undaan di Surabaya adalah salah satu tempat wisata yang berada di blok m suturejo utara, kabupaten surabaya, provinsi jawa timur, negara indonesia. Wisata Taman Buah Undaan di Surabaya adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. Wisata Taman Buah Undaan di Surabaya memiliki pesona keindahan yang sangat menarik untuk dikunjungi. Sangat di sayangkan jika anda berada di kota surabaya tidak mengunjungi wisata taman yang mempunyai keindahan yang tiada duanya tersebut. Wisata Taman Buah Undaan di Surabaya sangat cocok untuk mengisi kegiatan liburan anda, apalagi saat liburan panjang seperti libur nasional, ataupun hari ibur lainnya. Keindahan Wisata Taman Buah Undaan di Surabaya ini sangatlah baik bagi anda semua yang berada di dekat atau di kejauhan untuk merapat mengunjungi tempat Wisata Taman Buah Undaan di Surabaya di kota surabaya.",Taman Hiburan,Surabaya,0,4.1,30.0,"{'lat': -7.266213899999999, 'lng': 112.795281}",-7.2662139,112.795281,,398.0,wisata taman buah undaan surabaya salah satu tempat wisata berada blok m suturejo utara kabupaten surabaya provinsi jawa timur negara indonesia wisata taman buah undaan surabaya tempat wisata ramai wisatawan pada hari biasa maupun hari liburan tempat sangat indah bisa memberikan sensasi berbeda aktivitas kita sehari hari wisata taman buah undaan surabaya memiliki pesona keindahan sangat menarik dikunjungi sangat sayangkan jika anda berada surabaya tidak mengunjungi wisata taman mempunyai keindahan tiada duanya tersebut wisata taman buah undaan surabaya sangat cocok mengisi kegiatan liburan anda apalagi saat liburan panjang seperti libur nasional ataupun hari ibur lainnya keindahan wisata taman buah undaan surabaya sangatlah baik bagi anda semua berada dekat atau kejauhan merapat mengunjungi tempat wisata taman buah undaan surabaya surabaya
399,Taman Pelangi,"Kalau pelangi biasanya ada di siang hari pasca hujan, maka di Taman Pelangi Yogyakarta pengunjung justru bisa menikmatinya setiap malam hari. Ya, ini lantaran taman ini merupakan Taman Lampion beraneka warna dan rupa. Buka sejak petang, Taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari. Namun karena merupakan taman outdoor alias terbuka, maka pilihan paling tepat untuk datang ialah saat cuaca tidak hujan.",Taman Hiburan,Surabaya,0,4.5,20.0,"{'lat': -7.3275604, 'lng': 112.7312242}",-7.3275604,112.7312242,,399.0,kalau pelangi biasanya ada siang hari pasca hujan maka taman pelangi yogyakarta pengunjung justru bisa menikmatinya setiap malam hari ya lantaran taman merupakan taman lampion beraneka warna rupa buka sejak petang taman memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari namun karena merupakan taman outdoor alias terbuka maka pilihan paling tepat datang ialah saat cuaca tidak hujan
400,Hutan Bambu Keputih,"Surabaya menjadi kota metropolitan kedua setelah Jakarta. Kepadatan penduduk Surabaya pun cukup tinggi, dan karena terletak di pesisir, suhu kota terasa panas. Meski begitu, masih ada tempat sejuk, teduh, dan asri di tengah Kota Surabaya. Ialah Hutan Bambu Surabaya, tepatnya berada di Keputih. Mendengar nama “Hutan Bambu”, mungkin yang terlintas adalah hutan di pedesaan. Tapi jangan salah, di tengah kota pun dapat terwujud tempat asri seperti ini. Suasananya yang asri membuat pengunjung berbondong-bondong datang ke lokasi ini. Dan sekarang, taman rekreasi ini tengah menjadi favorit pengunjung menghabiskan waktu luang.",Cagar Alam,Surabaya,0,4.3,25.0,"{'lat': -7.294190899999999, 'lng': 112.8017238}",-7.2941909,112.8017238,,400.0,surabaya menjadi metropolitan kedua setelah jakarta kepadatan penduduk surabaya pun cukup tinggi karena terletak pesisir suhu terasa panas meski begitu masih ada tempat sejuk teduh asri tengah surabaya ialah hutan bambu surabaya tepatnya berada keputih mendengar nama hutan bambu mungkin terlintas hutan pedesaan tapi jangan salah tengah pun dapat terwujud tempat asri seperti suasananya asri membuat pengunjung berbondongbondong datang lokasi sekarang taman rekreasi tengah menjadi favorit pengunjung menghabiskan waktu luang
401,Taman Keputran,"Ntah, mengapa nama taman ini disebut dengan taman keputran, namun jika dikaitkan dengan lokasi taman, berada di persimpangan jalan Keputran Surabaya. Selain itu, di seberang sungai terdapat juga sebuah taman yang bernama Taman Lalu Lintas Surabaya. Keunikan Taman Keputran dibandingkan dengan taman lainnya adalah adanya lampu yang kerangka tiangnya mirip dengan manusia, dengan gaya pose yang berbeda-beda itu, membuat taman ini terlihat ada sentuhan kreatif dan inovatif. Lampu-lampu itu terang dan indah pada malam hari. Untuknya, taman ini cukup representatif sebagai pilihan mendapatkan tempat tongkrongan yang tenang pada malam hari. Tak hanya itu, jalur pijat refleksi kaki juga tersedia disana. Cocok untuk pengunjung yang ingin mencoba pengobatan refleksi kaki sederhana. Melalui pemahaman tentang jalur refleksi secara mendalam, sebagian orang memilih sarana ini dalam usaha menyembuhkan penyakit.",Taman Hiburan,Surabaya,0,4.3,,"{'lat': -7.2732153, 'lng': 112.744102}",-7.2732153,112.744102,,401.0,ntah mengapa nama taman disebut taman keputran namun jika dikaitkan lokasi taman berada persimpangan jalan keputran surabaya selain seberang sungai terdapat juga taman bernama taman lalu lintas surabaya keunikan taman keputran dibandingkan taman lainnya adanya lampu kerangka tiangnya mirip manusia gaya pose berbedabeda membuat taman terlihat ada sentuhan kreatif inovatif lampulampu terang indah pada malam hari untuknya taman cukup representatif pilihan mendapatkan tempat tongkrongan tenang pada malam hari tak hanya jalur pijat refleksi kaki juga tersedia disana cocok pengunjung ingin mencoba pengobatan refleksi kaki sederhana melalui pemahaman tentang jalur refleksi secara mendalam sebagian orang memilih sarana dalam usaha menyembuhkan penyakit
402,Food Junction Grand Pakuwon,"Food Junction Grand Pakuwon sebetulnya merupakan suatu pujasera dengan konsep yang sedikit berbeda dengan tempat lainnya. Tempatnya yang terletak di area Tandes, Surabaya Barat (strategis dengan suasana romantis dan unik) dimana jika dari arah pusat kota hanya membutuhkan waktu 20 menit untuk sampai ke lokasi. Sehingga tidak heran apabila banyak warga Surabaya yang menghabiskan waktu sore hari ditempat ini.",Pusat Perbelanjaan,Surabaya,0,4.5,120.0,"{'lat': -7.251022000000003, 'lng': 112.6620053}",-7.251022,112.6620053,,402.0,food junction grand pakuwon sebetulnya merupakan suatu pujasera konsep sedikit berbeda tempat lainnya tempatnya terletak area tandes surabaya barat strategis suasana romantis unik dimana jika arah pusat hanya membutuhkan waktu 20 menit sampai lokasi sehingga tidak heran apabila banyak warga surabaya menghabiskan waktu sore hari ditempat
403,Taman Barunawati,"Taman Barunawati yang lokasinya berada di kota Surabaya bagian utara. Taman yang satu ini bisa menjadi referensi untuk dikunjungi karena cukup recommended terutama bagi warga Surabaya atau bahkan warga luar Surabaya. Layaknya taman pada umumnya, memanglah menjadi tempat berlibur yang paling murah namun ada manfaat tersendiri yang bisa dirasakan oleh pengunjung seperti pikiran jadi tenang. Selain itu kita juga bisa mengajak anak atau anggota keluarga yang masih kecil untuk sekedar bermain di playground yang ada di dalam Taman Barunawati. Taman yang diresmikan pada 9 Oktober 2019 itu sekarang kondisinya nampak indah dan asri sehingga dapat mengalihkan perhatian bagi siapa saja yang melewati jalan Perak Barat Surabaya. Berkunjung ke taman ini pun kita tidak perlu merogoh kocek sepeser pun, namun pengunjung masih dapat menikmati pemandangan dan semua fasilitas yang ada di dalamnya.",Taman Hiburan,Surabaya,0,4.2,30.0,"{'lat': -7.222055899999998, 'lng': 112.7319967}",-7.2220559,112.7319967,,403.0,taman barunawati lokasinya berada surabaya bagian utara taman satu bisa menjadi referensi dikunjungi karena cukup recommended terutama bagi warga surabaya atau bahkan warga luar surabaya layaknya taman pada umumnya memanglah menjadi tempat berlibur paling murah namun ada manfaat tersendiri bisa dirasakan oleh pengunjung seperti pikiran jadi tenang selain kita juga bisa mengajak anak atau anggota keluarga masih kecil sekedar bermain playground ada dalam taman barunawati taman diresmikan pada 9 oktober 2019 sekarang kondisinya nampak indah asri sehingga dapat mengalihkan perhatian bagi siapa saja melewati jalan perak barat surabaya berkunjung taman pun kita tidak perlu merogoh kocek sepeser pun namun pengunjung masih dapat menikmati pemandangan semua fasilitas ada dalamnya
404,Kenjeran Park,"Kenjeran Park merupakan salah satu tempat wisata kekinian di Surabaya. Tempat wisata ini berlokasi tepat di Jalan Sukolilo, Desa Sukolilo Baru, Kecamatan Bulak, Surabaya, Jawa Timur. Dulunya, Kenjeran Park merupakan tempat yang kumuh dan kurang terawat. Tetapi, tempat ini kembali terawat hingga bertransformasi menjadi destinasi wisata modern dan kekinian di tengah Kota Surabaya. Kenjeran Park terdiri dari beberapa kawasan wisata yang bisa pengunjung pilih. Bagi yang membawa anak-anak dan suka berenang, pengunjung bisa mengunjungi Atlantis Land Kenjeran. Lalu, pengunjung juga bisa menyambangi beberapa tempat yang ikonik dari Kenjeran Park. Salah satunya adalah Pagoda Tian Ti. Pagoda Tian Ti ini punya desain yang terinspirasi dari Pagoda Tian Tan di Beijing, China. Namun, Pagoda Tian Ti terdiri dari tiga lantai dengan diameter 60 meter dan tinggi 58 meter. Tempat ikonik lainnya adalah Patung Buddha 4 Wajah. Patung Buddha memiliki ketinggian 36 meter. Tempat menarik lainnya yang bisa pengunjung sambangi adalah Klenteng Sanggar Agung. Di klenteng ini, pengunjung bisa melihat patung Dewi Kwan Im dan sepasang naga merah keemasan yang langsung menghadap ke pantai.",Taman Hiburan,Surabaya,35000,4.2,120.0,"{'lat': -7.252296400000001, 'lng': 112.7966952}",-7.2522964,112.7966952,,404.0,kenjeran park merupakan salah satu tempat wisata kekinian surabaya tempat wisata berlokasi tepat jalan sukolilo desa sukolilo baru kecamatan bulak surabaya jawa timur dulunya kenjeran park merupakan tempat kumuh kurang terawat tetapi tempat kembali terawat hingga bertransformasi menjadi destinasi wisata modern kekinian tengah surabaya kenjeran park terdiri beberapa kawasan wisata bisa pengunjung pilih bagi membawa anakanak suka berenang pengunjung bisa mengunjungi atlantis land kenjeran lalu pengunjung juga bisa menyambangi beberapa tempat ikonik kenjeran park salah satunya pagoda tian ti pagoda tian ti punya desain terinspirasi pagoda tian tan beijing china namun pagoda tian ti terdiri tiga lantai diameter 60 meter tinggi 58 meter tempat ikonik lainnya patung buddha 4 wajah patung buddha memiliki ketinggian 36 meter tempat menarik lainnya bisa pengunjung sambangi klenteng sanggar agung klenteng pengunjung bisa melihat patung dewi kwan im sepasang naga merah keemasan langsung menghadap pantai
405,Surabaya North Quay,"Surabaya menjadi kota besar yang sering menjadi tempat tujuan wisata. Berbagai tempat belanja dari tradisional hingga modern ada di Ibukota Jawa Timur ini. Namun, apakah tidak bosan wisata belanja saja di Surabaya? Jika bosan, datanglah ke Surabaya North Quay, objek wisata baru di Surabaya. Surabaya North Quay sebenarnya adalah terminal bagi kapal pesiar mewah yang bersandar. Namun, tempat ini sengaja dibenahi supaya dapat menjadi tempat wisata bagi warga Surabaya dan sekitarnya. Bahkan, tak sedikit yang berasal dari luar daerah yang penasaran ingin menikmati pemandangan menakjubkan. Lautan lepas dengan kapal pesiar mewah yang bersandar di terminal ini, menjadi daya tarik utamanya.",Taman Hiburan,Surabaya,50000,4.4,,"{'lat': -7.1968193, 'lng': 112.7324578}",-7.1968193,112.7324578,,405.0,surabaya menjadi besar sering menjadi tempat tujuan wisata berbagai tempat belanja tradisional hingga modern ada ibukota jawa timur namun apakah tidak bosan wisata belanja saja surabaya jika bosan datanglah surabaya north quay objek wisata baru surabaya surabaya north quay sebenarnya terminal bagi kapal pesiar mewah bersandar namun tempat sengaja dibenahi supaya dapat menjadi tempat wisata bagi warga surabaya sekitarnya bahkan tak sedikit berasal luar daerah penasaran ingin menikmati pemandangan menakjubkan lautan lepas kapal pesiar mewah bersandar terminal menjadi daya tarik utamanya
